symbol,currentprice,change%
NIFTY 50,"24,207.70",-0.21
M&M,"2,910.00",2.40
TITAN,"3,121.00",1.99
TECHM,"1,660.00",1.57
NESTLEIND,"2,270.00",1.38
INFY,"1,818.00",1.27
HINDUNILVR,"2,483.95",1.19
BRITANNIA,"5,682.20",0.99
WIPRO,565.00,0.92
CIPLA,"1,575.10",0.91
SUNPHARMA,"1,799.80",0.78
TATACONSUM,989.00,0.78
JSWSTEEL,994.00,0.53
POWERGRID,311.85,0.50
BAJAJFINSV,"1,739.00",0.48
BAJAJ-AUTO,"9,856.65",0.46
HCLTECH,"1,838.95",0.33
HDFCBANK,"1,752.00",0.31
ITC,477.90,0.19
AXISBANK,"1,156.00",0.13
HINDALCO,654.75,0.12
KOTAKBANK,"1,745.00",0.12
LT,"3,640.40",0.10
MARUTI,"11,260.50",0.02
ADANIPORTS,"1,353.10",-0.08
APOLLOHOSP,"7,390.05",-0.20
ULTRACEMCO,"11,029.10",-0.32
BHARTIARTL,"1,571.00",-0.35
TCS,"4,155.00",-0.37
BAJFINANCE,"6,904.50",-0.44
INDUSINDBK,"1,061.45",-0.45
DRREDDY,"1,292.80",-0.57
HDFCLIFE,709.50,-0.66
GRASIM,"2,565.00",-0.83
HEROMOTOCO,"4,830.00",-1.10
BEL,300.35,-1.12
SBILIFE,"1,589.00",-1.25
ONGC,265.95,-1.47
ICICIBANK,"1,270.00",-1.54
BPCL,315.00,-1.59
ADANIENT,"2,965.10",-1.69
EICHERMOT,"4,875.00",-1.76
NTPC,403.15,-1.93
RELIANCE,"1,297.65",-1.95
SHRIRAMFIN,"3,085.00",-1.96
TATAMOTORS,821.95,-1.98
SBIN,859.60,-2.15
TATASTEEL,152.00,-2.42
ASIANPAINT,"2,842.85",-2.67
COALINDIA,435.35,-2.72
TRENT,"6,550.00",-3.50
